keyword,score
„pod hradíolcar,4.00
sz ľ,4.00
ules voletín,4.00
‘a padärku,4.00
hoví irady,4.00
novou ven,4.00
kznnó sedliště,4.00
archeologický materisj,4.00
„podzermí chodhě,4.00
mnešte tf,4.00
litomyšlekém mzeu,4.00
různýoh eutor,4.00
složce „jerošov,4.00
dosti nejasný,4.00
tito vs1,4.00
objektů patžíofch,4.00
j2š povědomí,4.00
nich utrácela,4.00
g- ventuelně,4.00
postaveno ručně,4.00
závěr centrováno,4.00
písek pří,4.00
ostřivo slí,4.00
hrnčířském kruhu,4.00
-á hal,4.00
-é plast,4.00
-é šroub,4.00
šroubovice výv,4.00
prováděná zařízením,4.00
mejednotlivými rýhami,4.00
hádka milence,4.00
rozlilitelných tvar,4.00
krajov střopy,4.00
mřítka vyobrazeny,4.00
okreje nelze,4.00
pásem vpichů,4.00
vtisky prstem,4.00
vfvelkovou šrouboviof,4.00
basi udislaví,4.00
úsoch panatrí,4.00
„lad perným,4.00
„mad ouským,4.00
dra- hich,4.00
„ze zady,4.00
draha javornická,4.00
3tnf čóst,4.00
archeolorieký meteriál,4.00
utvo pel,4.00
„suchy ihotce,4.00
p3 „lopato,4.00
nelním jz,4.00
oběma vískani,4.00
počobě dvou-,4.00
yásu stave-,4.00
totál uay,4.00
izaci plužiny,4.00
snzu sz-jv,4.00
dobé is,4.00
anru y-3,4.00
sv oktraji,4.00
nacnad comnka,4.00
it nec,4.00
dita pol,4.00
oubravice odnt,4.00
—- -i',4.00
čaľo sti-,4.00
hrm torusy,4.00
pe okzs,4.00
llí okcra-,4.00
oboent snal,4.00
motivu bo-,4.00
tž porn,4.00
ujotno- da,4.00
„štítkov ký,4.00
„ba- heneká,4.00
hen cou,4.00
jo uspořádána,4.00
1any sv,4.00
primámí zdo,4.00
prodělávala anny,4.00
čis be,4.00
jehnědí 155=,4.00
duo castra,4.00
soilicet grudim,4.00
et uzatizlav,4.00
fráter eius,4.00
„u horkovce,4.00
naší oblasti,4.00
jepřesnější datace,4.00
rubriku „obr,4.00
sloupci „pozn,4.00
výčtech střepů,4.00
„v hlubočicíol,4.00
žopníckdho potoka,4.00
oru v111,4.00
mtem návai,4.00
nelze vylužovat,4.00
be vos,4.00
horní újozd,4.00
mladšího půvou,4.00
17# tozeký,4.00
2odobné záušničky,4.00
slovanských adlezech,4.00
rotundy sv,4.00
stžedověkého sdliätzjiätny,4.00
so- vohraco,4.00
velkým prämrů,4.00
laakav zdělil,4.00
kobunberskún muzeu,4.00
líci ukřižovaný,4.00
rubu patn,4.00
vou kroužcích,4.00
velkého průmězu,4.00
šírka pásku,4.00
jedné stranš,4.00
kování vdrok,4.00
110x100 1m,4.00
sí- mnnef,4.00
5x80 •m,4.00
juéno dokiad,4.00
lovuje pochybnosti,4.00
kašdém případě,4.00
uď arel,4.00
„mohmer mlur®,4.00
jádro gotický,4.00
ze- hízení,4.00
výši popletků,4.00
charakter robot,4.00
„nové voštici,4.00
spojujfof čistou,4.00
šveo 1921-1922,4.00
reheologický nateziál,4.00
di ae,4.00
totam ilvem,4.00
pek zdé,4.00
ronnšice stály,4.00
zdrobnělina nktoró-,4.00
oložení záhunanekg•,4.00
smru jzsv,4.00
vypá vypástřední,4.00
vytá- ženo,4.00
užíváno všude,4.00
následují informace,4.00
prá práužívaných,4.00
označení střepů,4.00
anderlově sbírce,4.00
archeologické rozhledy,4.00
eomice 22*33,4.00
p2 yyp,4.00
sz ä,4.00
„za hmny,4.00
dva etatky,4.00
tvořena lny,4.00
eněru jz-sv,4.00
vra- čovic,4.00
čenk hežmanice,4.00
vysokého ng+a,4.00
ssllzok 193la,4.00
plnžins hzed,4.00
jeko 2lý,4.00
čaz monává,4.00
prvá sondée,4.00
označoné „88,4.00
71/791 le,4.00
čaho x,4.00
le anls,4.00
mělkými rjhani,4.00
gkrajové atkepy,4.00
bezva äedočemá,4.00
odstiny hndó,4.00
avo- nivé,4.00
uvrdost svžodni,4.00
rak toru,4.00
košuaborku abiron,4.00
120-150 cu,4.00
