file,page_num,Clear,Trash,Noisy,Empty,Non-text
CTX199904249,106,0,0,2,0,3
CTX199904249,107,0,0,2,0,4
CTX199904249,108,0,0,0,0,1
CTX199904249,109,0,0,0,0,1
CTX199904249,110,0,0,2,0,1
CTX199904249,111,1,0,1,0,1
CTX199904249,112,0,0,0,0,1
CTX199904249,113,1,1,1,0,10
CTX199904249,114,0,0,2,0,1
CTX199904249,115,0,0,2,0,1
CTX199904249,116,0,0,0,0,1
CTX199904249,117,0,0,2,0,1
CTX199904249,118,0,1,2,0,1
CTX199904249,119,0,0,0,0,1
CTX199904249,120,1,5,44,0,1
CTX199904249,121,2,10,35,0,2
CTX199904249,122,1,5,37,0,1
CTX199904249,123,1,6,32,0,4
CTX199904249,124,1,6,4,0,1
CTX199904249,125,0,0,1,0,1
CTX199904249,126,6,2,38,0,3
CTX199904249,127,0,7,38,0,1
CTX199904249,128,0,2,4,0,1
CTX199904249,129,0,4,0,0,2
CTX199904249,130,0,8,7,0,1
CTX199904249,131,0,0,3,0,1
CTX199904249,132,0,0,3,0,1
CTX199904249,133,0,0,3,0,1
CTX199904249,134,0,0,3,0,1
CTX199904249,135,0,0,3,0,1
CTX199904249,136,0,0,3,0,1
CTX199904249,137,0,1,3,0,1
CTX199904249,138,0,1,2,0,1
CTX199904249,139,0,2,2,0,1
CTX199904249,140,0,2,2,0,1
CTX199904249,141,0,0,1,0,1
CTX199904249,142,0,0,2,0,1
CTX199904249,143,0,4,6,0,2
CTX199904249,144,0,37,5,0,2
CTX199904249,145,0,0,0,0,1
CTX199904249,146,0,39,7,0,4
CTX199904249,147,0,9,3,0,6
CTX199904249,148,0,38,6,0,3
CTX199904249,149,0,0,0,0,1
CTX199904249,150,0,8,1,0,5
CTX199904249,151,0,38,5,0,3
CTX199904249,152,0,36,6,0,4
CTX199904249,153,0,39,5,0,2
CTX199904249,154,0,11,1,0,5
CTX199904249,155,0,38,5,0,3
CTX199904249,156,0,11,1,0,4
CTX199904249,157,0,40,3,0,3
CTX199904249,158,0,41,5,0,4
CTX199904249,159,0,9,2,0,6
CTX199904249,160,0,5,0,0,2
CTX199904249,161,0,10,0,0,5
CTX199904249,162,0,38,5,0,13
CTX199904249,163,0,0,0,0,1
CTX199904249,164,0,36,8,0,2
CTX199904249,165,0,11,1,0,6
CTX199904249,166,0,38,10,0,2
CTX199904249,167,0,11,1,0,5
CTX199904249,168,0,40,10,0,3
CTX199904249,169,0,11,1,0,6
CTX199904249,170,0,38,6,0,3
CTX199904249,171,0,11,1,0,6
CTX199904249,172,0,40,11,0,5
CTX199904249,173,0,11,1,0,5
CTX199904249,174,0,40,7,0,4
CTX199904249,175,0,0,0,0,1
CTX199904249,176,0,37,6,0,4
CTX199904249,177,0,11,1,0,6
CTX199904249,178,0,38,6,0,4
CTX199904249,179,0,36,7,0,4
CTX199904249,180,0,10,2,0,7
CTX199904249,181,0,35,6,0,2
CTX199904249,182,0,11,1,0,6
CTX199904249,183,0,38,6,0,2
CTX199904249,184,0,9,3,0,7
CTX199904249,185,0,36,7,0,4
CTX199904249,186,0,9,3,0,6
CTX199904249,187,0,0,0,0,1
